"(8, 40), neighbors:2500, best: (33, 15), C, 0"
"(8, 41), neighbors:2500, best: (33, 16), C, 0"
"(8, 42), neighbors:2500, best: (33, 17), C, 0"
"(8, 43), neighbors:2500, best: (33, 18), C, 0"
"(8, 44), neighbors:2500, best: (33, 19), D, 0"
"(8, 45), neighbors:2500, best: (33, 20), D, 0"
"(8, 46), neighbors:2500, best: (33, 21), C, 0"
"(8, 47), neighbors:2500, best: (33, 22), C, 0"
"(8, 48), neighbors:2500, best: (33, 23), C, 0"
"(8, 49), neighbors:2500, best: (33, 24), C, 0"
"(9, 0), neighbors:2500, best: (34, 25), D, 0"
"(9, 1), neighbors:2500, best: (34, 26), D, 0"
"(9, 2), neighbors:2500, best: (34, 27), C, 0"
"(9, 3), neighbors:2500, best: (34, 28), D, 0"
"(9, 4), neighbors:2500, best: (34, 29), D, 0"
"(9, 5), neighbors:2500, best: (34, 30), C, 0"
"(9, 6), neighbors:2500, best: (34, 31), D, 0"
"(9, 7), neighbors:2500, best: (34, 32), D, 0"
"(9, 8), neighbors:2500, best: (34, 33), D, 0"
"(9, 9), neighbors:2500, best: (34, 34), D, 0"
"(9, 10), neighbors:2500, best: (34, 35), D, 0"
"(9, 11), neighbors:2500, best: (34, 36), C, 0"
"(9, 12), neighbors:2500, best: (34, 37), C, 0"
"(9, 13), neighbors:2500, best: (34, 38), C, 0"
"(9, 14), neighbors:2500, best: (34, 39), D, 0"
"(9, 15), neighbors:2500, best: (34, 40), C, 0"
"(9, 16), neighbors:2500, best: (34, 41), D, 0"
"(9, 17), neighbors:2500, best: (34, 42), D, 0"
"(9, 18), neighbors:2500, best: (34, 43), D, 0"
"(9, 19), neighbors:2500, best: (34, 44), D, 0"
"(9, 20), neighbors:2500, best: (34, 45), D, 0"
"(9, 21), neighbors:2500, best: (34, 46), D, 0"
"(9, 22), neighbors:2500, best: (34, 47), D, 0"
"(9, 23), neighbors:2500, best: (34, 48), D, 0"
"(9, 24), neighbors:2500, best: (34, 49), C, 0"
"(9, 25), neighbors:2500, best: (34, 0), D, 0"
"(9, 26), neighbors:2500, best: (34, 1), C, 0"
"(9, 27), neighbors:2500, best: (34, 2), D, 0"
